transaction_id,date,description,amount,transaction_type,category,merchant
38,2025-01-27,myntra clothes 5346,5346.06,expense,Shopping,myntra
39,2025-01-27,electronics store 4315,4315.86,expense,Shopping,electronics
40,2025-01-27,college tuition fee 13955,13955.03,expense,Education,college
41,2025-01-27,gas cylinder booking 2484,2484.1,expense,Bills,gas
42,2025-01-28,home repair 406,406.96,expense,Other,home
43,2025-01-28,water bill 2127,2127.8,expense,Bills,water
44,2025-01-29,broadband internet bill 192,192.07,expense,Bills,broadband
45,2025-01-29,starbucks coffee 155,155.49,expense,Food,starbucks
46,2025-01-29,grocery store bigbasket 159,159.36,expense,Food,grocery
47,2025-01-29,gas cylinder booking 4063,4063.52,expense,Bills,gas
48,2025-01-30,decathlon sports gear 2095,2095.38,expense,Shopping,decathlon
49,2025-01-31,college tuition fee 1686,1686.59,expense,Education,college
50,2025-01-31,book purchase 6526,6526.61,expense,Education,book
51,2025-01-31,cash withdrawal atm 2036,2036.43,expense,Other,cash
52,2025-02-03,doctor consultation fee 1355,1355.98,expense,Health,doctor
53,2025-02-03,maintenance society bill 2774,2774.39,expense,Bills,maintenance
54,2025-02-03,college tuition fee 4394,4394.61,expense,Education,college
55,2025-02-04,rapido bike 2025,2025.81,expense,Transport,rapido
56,2025-02-05,uber ride 1640,1640.8,expense,Transport,uber
57,2025-02-05,zomato lunch order 1117,1117.53,expense,Food,zomato
58,2025-02-05,mobile recharge jio 2527,2527.52,expense,Bills,mobile
59,2025-02-05,donation charity 2600,2600.72,expense,Other,donation
60,2025-02-07,online course udemy 14784,14784.04,expense,Education,online
61,2025-02-08,bank service charge 1297,1297.87,expense,Other,bank
62,2025-02-08,gift purchase 610,610.2,expense,Other,gift
63,2025-02-09,supermarket vegetables 904,904.03,expense,Food,supermarket
64,2025-02-11,swiggy dinner 734,734.28,expense,Food,swiggy
65,2025-02-11,amazon order 7694,7694.08,expense,Shopping,amazon
66,2025-02-13,car service 197,197.86,expense,Transport,car
67,2025-02-14,online course udemy 14141,14141.46,expense,Education,online
68,2025-02-15,electricity bill payment 3773,3773.38,expense,Bills,electricity
69,2025-02-15,school fees payment 8879,8879.98,expense,Education,school
70,2025-02-15,health insurance premium 1140,1140.66,expense,Health,health
71,2025-02-15,gym membership fee 1438,1438.23,expense,Health,gym
72,2025-02-16,hotstar subscription 541,541.96,expense,Entertainment,hotstar
73,2025-02-19,ola cab 1357,1357.96,expense,Transport,ola
74,2025-02-19,spotify premium 1406,1406.5,expense,Entertainment,spotify
75,2025-02-19,metro card recharge 942,942.73,expense,Transport,metro
76,2025-02-20,bank service charge 1854,1854.45,expense,Other,bank
77,2025-02-21,bakery order 995,995.16,expense,Food,bakery
78,2025-02-21,movie tickets bookmyshow 1414,1414.44,expense,Entertainment,movie
79,2025-02-21,electronics store 1100,1100.34,expense,Shopping,electronics
80,2025-02-21,toll payment fastag 413,413.96,expense,Transport,toll
81,2025-02-22,rent payment 1341,1341.04,expense,Bills,rent
82,2025-02-22,hotstar subscription 450,450.82,expense,Entertainment,hotstar
83,2025-02-25,netflix subscription 103,103.97,expense,Entertainment,netflix
84,2025-02-25,electronics store 1460,1460.34,expense,Shopping,electronics
85,2025-02-25,pet supplies 1704,1704.68,expense,Other,pet
86,2025-02-28,grocery store bigbasket 732,732.41,expense,Food,grocery
87,2025-03-01,college tuition fee 914,914.88,expense,Education,college
88,2025-03-02,grocery store bigbasket 315,315.29,expense,Food,grocery
89,2025-03-02,water bill 2219,2219.02,expense,Bills,water
90,2025-03-03,exam registration fee 11317,11317.32,expense,Education,exam
91,2025-03-03,mobile recharge jio 5860,5860.81,expense,Bills,mobile
92,2025-03-03,ajio order 393,393.33,expense,Shopping,ajio
93,2025-03-03,diagnostic lab test 4040,4040.84,expense,Health,diagnostic
94,2025-03-04,spotify premium 1202,1202.11,expense,Entertainment,spotify
95,2025-03-06,cafe coffee day 329,329.13,expense,Food,cafe
96,2025-03-06,salon haircut 950,950.31,expense,Other,salon
97,2025-03-06,broadband internet bill 288,288.44,expense,Bills,broadband
98,2025-03-07,book purchase 4395,4395.46,expense,Education,book
99,2025-03-09,diagnostic lab test 3445,3445.66,expense,Health,diagnostic
100,2025-03-09,pharmacy medicines 709,709.41,expense,Health,pharmacy
101,2025-03-10,electronics store 498,498.41,expense,Shopping,electronics
102,2025-03-10,book purchase 11009,11009.61,expense,Education,book
103,2025-03-11,exam registration fee 14768,14768.27,expense,Education,exam
104,2025-03-11,parking fee 2251,2251.78,expense,Transport,parking
105,2025-03-12,netflix subscription 1092,1092.01,expense,Entertainment,netflix
106,2025-03-14,rent payment 2673,2673.09,expense,Bills,rent
107,2025-03-14,dental checkup 3367,3367.43,expense,Health,dental
108,2025-03-14,bus ticket 1282,1282.59,expense,Transport,bus
109,2025-03-14,book purchase 6215,6215.29,expense,Education,book
110,2025-03-15,shopping mall 3479,3479.48,expense,Shopping,shopping
111,2025-03-15,school fees payment 11297,11297.58,expense,Education,school
112,2025-03-16,amusement park entry 866,866.66,expense,Entertainment,amusement
113,2025-03-18,amazon prime subscription 701,701.27,expense,Entertainment,amazon
114,2025-03-18,yoga class fee 2292,2292.66,expense,Health,yoga
115,2025-03-19,gift purchase 1993,1993.61,expense,Other,gift
116,2025-03-20,doctor consultation fee 4119,4119.35,expense,Health,doctor
117,2025-03-20,gas cylinder booking 1464,1464.15,expense,Bills,gas
118,2025-03-21,amazon order 560,560.47,expense,Shopping,amazon
119,2025-03-22,rapido bike 1053,1053.67,expense,Transport,rapido
120,2025-03-22,credit card bill payment 3042,3042.11,expense,Bills,credit
121,2025-03-22,mobile recharge jio 3987,3987.94,expense,Bills,mobile
122,2025-03-25,mobile recharge jio 4854,4854.04,expense,Bills,mobile
123,2025-03-25,cash withdrawal atm 1694,1694.35,expense,Other,cash
124,2025-03-25,rapido bike 359,359.35,expense,Transport,rapido
125,2025-03-26,yoga class fee 3121,3121.36,expense,Health,yoga
126,2025-03-26,coursera subscription 13630,13630.76,expense,Education,coursera
127,2025-03-26,gift purchase 2243,2243.78,expense,Other,gift
128,2025-03-27,bank service charge 2267,2267.74,expense,Other,bank
129,2025-03-27,hotstar subscription 977,977.07,expense,Entertainment,hotstar
130,2025-03-27,hotstar subscription 207,207.55,expense,Entertainment,hotstar
131,2025-03-28,gas cylinder booking 2114,2114.71,expense,Bills,gas
132,2025-03-28,petrol pump fuel 402,402.55,expense,Transport,petrol
133,2025-03-29,shopping mall 700,700.99,expense,Shopping,shopping
134,2025-03-29,book purchase 8276,8276.38,expense,Education,book
135,2025-03-29,online course udemy 3340,3340.47,expense,Education,online
136,2025-03-30,coursera subscription 8885,8885.97,expense,Education,coursera
137,2025-03-30,supermarket vegetables 506,506.03,expense,Food,supermarket
138,2025-03-30,grocery store bigbasket 414,414.45,expense,Food,grocery
139,2025-03-31,exam registration fee 11288,11288.48,expense,Education,exam
140,2025-03-31,dth recharge 1433,1433.62,expense,Bills,dth
141,2025-03-31,coaching class fee 726,726.66,expense,Education,coaching
142,2025-04-01,school fees payment 2726,2726.16,expense,Education,school
143,2025-04-01,gift purchase 2943,2943.13,expense,Other,gift
144,2025-04-02,mcdonalds meal 742,742.92,expense,Food,mcdonalds
145,2025-04-02,zomato lunch order 799,799.88,expense,Food,zomato
146,2025-04-02,decathlon sports gear 1617,1617.49,expense,Shopping,decathlon
147,2025-04-02,amusement park entry 557,557.62,expense,Entertainment,amusement
148,2025-04-03,dental checkup 3841,3841.96,expense,Health,dental
149,2025-04-03,book purchase 11354,11354.54,expense,Education,book
150,2025-04-03,book purchase 12573,12573.19,expense,Education,book
151,2025-04-04,food delivery 684,684.15,expense,Food,food
152,2025-04-04,gym membership fee 3303,3303.2,expense,Health,gym
153,2025-04-04,swiggy dinner 1143,1143.57,expense,Food,swiggy
154,2025-04-05,supermarket vegetables 250,250.67,expense,Food,supermarket
155,2025-04-06,miscellaneous expense 1713,1713.71,expense,Other,miscellaneous
156,2025-04-07,bank service charge 2312,2312.35,expense,Other,bank
157,2025-04-08,petrol pump fuel 2412,2412.86,expense,Transport,petrol
158,2025-04-10,restaurant bill 724,724.89,expense,Food,restaurant
159,2025-04-10,coaching class fee 14139,14139.62,expense,Education,coaching
160,2025-04-10,water bill 3613,3613.77,expense,Bills,water
161,2025-04-10,water bill 4228,4228.58,expense,Bills,water
162,2025-04-11,car service 1963,1963.11,expense,Transport,car
163,2025-04-11,diagnostic lab test 3358,3358.38,expense,Health,diagnostic
164,2025-04-13,pharmacy medicines 4270,4270.44,expense,Health,pharmacy
165,2025-04-13,miscellaneous expense 1328,1328.89,expense,Other,miscellaneous
166,2025-04-13,yoga class fee 3580,3580.45,expense,Health,yoga
167,2025-04-13,college tuition fee 11086,11086.79,expense,Education,college
168,2025-04-14,home repair 1334,1334.94,expense,Other,home
169,2025-04-14,concert tickets 1292,1292.25,expense,Entertainment,concert
170,2025-04-16,donation charity 2263,2263.91,expense,Other,donation
171,2025-04-16,book purchase 721,721.89,expense,Education,book
172,2025-04-17,decathlon sports gear 1854,1854.53,expense,Shopping,decathlon
173,2025-04-17,concert tickets 490,490.8,expense,Entertainment,concert
174,2025-04-18,netflix subscription 822,822.79,expense,Entertainment,netflix
175,2025-04-18,water bill 1561,1561.93,expense,Bills,water
176,2025-04-18,coaching class fee 8461,8461.09,expense,Education,coaching
177,2025-04-18,dth recharge 3928,3928.53,expense,Bills,dth
178,2025-04-19,cash withdrawal atm 324,324.51,expense,Other,cash
179,2025-04-19,credit card bill payment 4196,4196.95,expense,Bills,credit
180,2025-04-19,concert tickets 762,762.04,expense,Entertainment,concert
181,2025-04-20,diagnostic lab test 4983,4983.66,expense,Health,diagnostic
182,2025-04-20,dental checkup 3558,3558.85,expense,Health,dental
183,2025-04-20,gaming purchase steam 451,451.22,expense,Entertainment,gaming
184,2025-04-20,metro card recharge 809,809.4,expense,Transport,metro
185,2025-04-21,shopping mall 1887,1887.8,expense,Shopping,shopping
186,2025-04-21,bank service charge 2187,2187.53,expense,Other,bank
187,2025-04-21,movie tickets bookmyshow 1265,1265.51,expense,Entertainment,movie
188,2025-04-21,amazon prime subscription 604,604.59,expense,Entertainment,amazon
189,2025-04-22,food delivery 678,678.23,expense,Food,food
190,2025-04-22,netflix subscription 1463,1463.99,expense,Entertainment,netflix
191,2025-04-23,spotify premium 992,992.66,expense,Entertainment,spotify
192,2025-04-23,miscellaneous expense 2624,2624.52,expense,Other,miscellaneous
193,2025-04-23,hotstar subscription 769,769.68,expense,Entertainment,hotstar
194,2025-04-23,hospital bill 4832,4832.66,expense,Health,hospital
195,2025-04-24,miscellaneous expense 2475,2475.24,expense,Other,miscellaneous
196,2025-04-24,coaching class fee 1389,1389.01,expense,Education,coaching
197,2025-04-26,electronics store 864,864.41,expense,Shopping,electronics
198,2025-04-27,toll payment fastag 1918,1918.18,expense,Transport,toll
199,2025-04-28,maintenance society bill 2375,2375.21,expense,Bills,maintenance
200,2025-04-28,bank service charge 2587,2587.49,expense,Other,bank
201,2025-04-28,book purchase 8658,8658.85,expense,Education,book
202,2025-04-28,supermarket vegetables 1155,1155.32,expense,Food,supermarket
203,2025-04-30,gas cylinder booking 4013,4013.5,expense,Bills,gas
204,2025-05-01,mobile recharge jio 3379,3379.15,expense,Bills,mobile
205,2025-05-02,mcdonalds meal 584,584.56,expense,Food,mcdonalds
206,2025-05-03,bank service charge 146,146.29,expense,Other,bank
207,2025-05-03,gaming purchase steam 1083,1083.89,expense,Entertainment,gaming
208,2025-05-03,miscellaneous expense 2077,2077.79,expense,Other,miscellaneous
209,2025-05-03,amazon prime subscription 694,694.62,expense,Entertainment,amazon
210,2025-05-04,mobile recharge jio 5464,5464.21,expense,Bills,mobile
211,2025-05-04,flipkart purchase 665,665.18,expense,Shopping,flipkart
212,2025-05-04,gaming purchase steam 714,714.25,expense,Entertainment,gaming
213,2025-05-04,bank service charge 2114,2114.21,expense,Other,bank
214,2025-05-05,home repair 287,287.3,expense,Other,home
215,2025-05-05,mcdonalds meal 902,902.68,expense,Food,mcdonalds
216,2025-05-06,netflix subscription 226,226.95,expense,Entertainment,netflix
217,2025-05-06,bakery order 999,999.99,expense,Food,bakery
218,2025-05-06,dominos pizza 606,606.96,expense,Food,dominos
219,2025-05-06,bank service charge 585,585.39,expense,Other,bank
220,2025-05-07,school fees payment 12269,12269.4,expense,Education,school
221,2025-05-07,rapido bike 889,889.46,expense,Transport,rapido
222,2025-05-07,dental checkup 3400,3400.15,expense,Health,dental
223,2025-05-07,footwear purchase 3410,3410.83,expense,Shopping,footwear
224,2025-05-08,amusement park entry 1238,1238.81,expense,Entertainment,amusement
225,2025-05-08,cafe coffee day 178,178.63,expense,Food,cafe
226,2025-05-08,concert tickets 261,261.41,expense,Entertainment,concert
227,2025-05-09,bakery order 1053,1053.69,expense,Food,bakery
228,2025-05-09,pet supplies 209,209.9,expense,Other,pet
229,2025-05-09,yoga class fee 3183,3183.23,expense,Health,yoga
230,2025-05-11,spotify premium 1398,1398.67,expense,Entertainment,spotify
231,2025-05-12,miscellaneous expense 135,135.16,expense,Other,miscellaneous
232,2025-05-12,mobile recharge jio 1967,1967.89,expense,Bills,mobile
233,2025-05-12,street food vendor 536,536.95,expense,Food,street
234,2025-05-13,rapido bike 2369,2369.24,expense,Transport,rapido
235,2025-05-14,bank service charge 1551,1551.17,expense,Other,bank
236,2025-05-15,coursera subscription 7392,7392.74,expense,Education,coursera
237,2025-05-15,donation charity 1397,1397.52,expense,Other,donation
238,2025-05-16,college tuition fee 13851,13851.46,expense,Education,college
239,2025-05-17,flipkart purchase 2354,2354.73,expense,Shopping,flipkart
240,2025-05-17,book purchase 14033,14033.45,expense,Education,book
241,2025-05-17,netflix subscription 495,495.26,expense,Entertainment,netflix
242,2025-05-17,hotstar subscription 1311,1311.23,expense,Entertainment,hotstar
243,2025-05-18,salon haircut 1030,1030.7,expense,Other,salon
244,2025-05-18,coaching class fee 14012,14012.93,expense,Education,coaching
245,2025-05-18,broadband internet bill 3495,3495.02,expense,Bills,broadband
246,2025-05-19,online course udemy 4977,4977.19,expense,Education,online
247,2025-05-20,coaching class fee 14829,14829.69,expense,Education,coaching
248,2025-05-20,decathlon sports gear 7725,7725.63,expense,Shopping,decathlon
249,2025-05-20,furniture store 7729,7729.76,expense,Shopping,furniture
250,2025-05-21,rapido bike 276,276.29,expense,Transport,rapido
251,2025-05-21,cash withdrawal atm 2181,2181.21,expense,Other,cash
252,2025-05-22,flipkart purchase 3862,3862.03,expense,Shopping,flipkart
253,2025-05-22,concert tickets 972,972.19,expense,Entertainment,concert
254,2025-05-22,school fees payment 1480,1480.64,expense,Education,school
255,2025-05-23,book purchase 9513,9513.95,expense,Education,book
256,2025-05-23,cash withdrawal atm 1871,1871.51,expense,Other,cash
257,2025-05-24,amazon prime subscription 1145,1145.22,expense,Entertainment,amazon
258,2025-05-25,auto rickshaw fare 1768,1768.61,expense,Transport,auto
259,2025-05-25,rapido bike 440,440.92,expense,Transport,rapido
260,2025-05-25,netflix subscription 163,163.43,expense,Entertainment,netflix
261,2025-05-27,dental checkup 2238,2238.83,expense,Health,dental
262,2025-05-27,maintenance society bill 2560,2560.5,expense,Bills,maintenance
263,2025-05-28,myntra clothes 815,815.95,expense,Shopping,myntra
264,2025-05-29,dth recharge 5490,5490.05,expense,Bills,dth
265,2025-05-29,shopping mall 3796,3796.97,expense,Shopping,shopping
266,2025-05-29,hotstar subscription 456,456.71,expense,Entertainment,hotstar
267,2025-05-31,spotify premium 202,202.48,expense,Entertainment,spotify
268,2025-05-31,health insurance premium 3248,3248.85,expense,Health,health
269,2025-05-31,school fees payment 3976,3976.44,expense,Education,school
270,2025-06-01,credit card bill payment 5142,5142.01,expense,Bills,credit
271,2025-06-01,metro card recharge 971,971.97,expense,Transport,metro
272,2025-06-02,gaming purchase steam 129,129.74,expense,Entertainment,gaming
273,2025-06-02,book purchase 419,419.04,expense,Education,book
274,2025-06-04,bank service charge 2338,2338.44,expense,Other,bank
275,2025-06-04,rent payment 1431,1431.18,expense,Bills,rent
276,2025-06-04,gas cylinder booking 4114,4114.92,expense,Bills,gas
277,2025-06-04,flipkart purchase 7246,7246.55,expense,Shopping,flipkart
278,2025-06-06,cash withdrawal atm 1759,1759.74,expense,Other,cash
279,2025-06-06,flipkart purchase 7295,7295.1,expense,Shopping,flipkart
280,2025-06-07,college tuition fee 3251,3251.68,expense,Education,college
281,2025-06-07,health insurance premium 4177,4177.79,expense,Health,health
282,2025-06-08,bank service charge 2252,2252.35,expense,Other,bank
283,2025-06-08,doctor consultation fee 2421,2421.41,expense,Health,doctor
284,2025-06-10,credit card bill payment 5808,5808.53,expense,Bills,credit
285,2025-06-11,doctor consultation fee 3984,3984.81,expense,Health,doctor
286,2025-06-11,restaurant bill 680,680.96,expense,Food,restaurant
287,2025-06-11,salon haircut 2034,2034.84,expense,Other,salon
288,2025-06-11,amusement park entry 1251,1251.21,expense,Entertainment,amusement
289,2025-06-12,auto rickshaw fare 607,607.54,expense,Transport,auto
290,2025-06-12,supermarket vegetables 1070,1070.34,expense,Food,supermarket
291,2025-06-13,gym membership fee 3291,3291.11,expense,Health,gym
292,2025-06-13,bank service charge 1965,1965.26,expense,Other,bank
293,2025-06-13,petrol pump fuel 142,142.01,expense,Transport,petrol
294,2025-06-13,restaurant bill 1195,1195.44,expense,Food,restaurant
295,2025-06-16,ajio order 3738,3738.42,expense,Shopping,ajio
296,2025-06-17,exam registration fee 11211,11211.35,expense,Education,exam
297,2025-06-17,ajio order 5308,5308.39,expense,Shopping,ajio
298,2025-06-17,pet supplies 2820,2820.21,expense,Other,pet
299,2025-06-17,netflix subscription 1066,1066.08,expense,Entertainment,netflix
300,2025-06-18,home repair 2854,2854.14,expense,Other,home
301,2025-06-19,auto rickshaw fare 937,937.32,expense,Transport,auto
302,2025-06-19,pharmacy medicines 2080,2080.98,expense,Health,pharmacy
303,2025-06-20,rapido bike 256,256.43,expense,Transport,rapido
304,2025-06-21,swiggy dinner 961,961.21,expense,Food,swiggy
305,2025-06-22,shopping mall 735,735.16,expense,Shopping,shopping
306,2025-06-23,broadband internet bill 4906,4906.36,expense,Bills,broadband
307,2025-06-23,rent payment 4680,4680.06,expense,Bills,rent
308,2025-06-23,restaurant bill 1041,1041.41,expense,Food,restaurant
309,2025-06-23,myntra clothes 4413,4413.68,expense,Shopping,myntra
310,2025-06-24,auto rickshaw fare 2170,2170.13,expense,Transport,auto
311,2025-06-25,grocery store bigbasket 964,964.78,expense,Food,grocery
312,2025-06-26,pharmacy medicines 995,995.09,expense,Health,pharmacy
313,2025-06-28,exam registration fee 1970,1970.64,expense,Education,exam
314,2025-06-30,salon haircut 1564,1564.05,expense,Other,salon
315,2025-06-30,rapido bike 1274,1274.48,expense,Transport,rapido
316,2025-06-30,food delivery 957,957.21,expense,Food,food
317,2025-07-01,hotstar subscription 1000,1000.32,expense,Entertainment,hotstar
318,2025-07-01,swiggy dinner 1198,1198.42,expense,Food,swiggy
319,2025-07-01,coaching class fee 10385,10385.63,expense,Education,coaching
320,2025-07-01,home repair 266,266.8,expense,Other,home
321,2025-07-03,flipkart purchase 1184,1184.29,expense,Shopping,flipkart
322,2025-07-03,diagnostic lab test 4973,4973.94,expense,Health,diagnostic
323,2025-07-04,hotstar subscription 807,807.28,expense,Entertainment,hotstar
324,2025-07-04,online course udemy 11958,11958.51,expense,Education,online
325,2025-07-04,auto rickshaw fare 1637,1637.76,expense,Transport,auto
326,2025-07-04,credit card bill payment 2791,2791.6,expense,Bills,credit
327,2025-07-05,book purchase 12463,12463.06,expense,Education,book
328,2025-07-06,school fees payment 1697,1697.76,expense,Education,school
329,2025-07-06,book purchase 10077,10077.09,expense,Education,book
330,2025-07-06,hospital bill 3481,3481.08,expense,Health,hospital
331,2025-07-07,ola cab 2084,2084.48,expense,Transport,ola
332,2025-07-07,parking fee 268,268.51,expense,Transport,parking
333,2025-07-07,hospital bill 2848,2848.4,expense,Health,hospital
334,2025-07-08,doctor consultation fee 2142,2142.42,expense,Health,doctor
335,2025-07-08,coursera subscription 13762,13762.9,expense,Education,coursera
336,2025-07-08,restaurant bill 752,752.46,expense,Food,restaurant
337,2025-07-08,doctor consultation fee 2952,2952.9,expense,Health,doctor
338,2025-07-09,decathlon sports gear 1949,1949.11,expense,Shopping,decathlon
339,2025-07-11,doctor consultation fee 3848,3848.64,expense,Health,doctor
340,2025-07-11,credit card bill payment 5094,5094.16,expense,Bills,credit
341,2025-07-12,supermarket vegetables 1120,1120.57,expense,Food,supermarket
342,2025-07-12,netflix subscription 351,351.76,expense,Entertainment,netflix
343,2025-07-12,concert tickets 590,590.78,expense,Entertainment,concert
344,2025-07-12,myntra clothes 4617,4617.3,expense,Shopping,myntra
345,2025-07-13,petrol pump fuel 1860,1860.19,expense,Transport,petrol
346,2025-07-13,zomato lunch order 915,915.65,expense,Food,zomato
347,2025-07-13,credit card bill payment 2606,2606.02,expense,Bills,credit
348,2025-07-14,footwear purchase 2630,2630.77,expense,Shopping,footwear
349,2025-07-14,doctor consultation fee 4434,4434.21,expense,Health,doctor
350,2025-07-15,amazon order 5456,5456.96,expense,Shopping,amazon
351,2025-07-16,pet supplies 1482,1482.7,expense,Other,pet
352,2025-07-16,pet supplies 855,855.84,expense,Other,pet
353,2025-07-17,train ticket irctc 1091,1091.89,expense,Transport,train
354,2025-07-17,hotstar subscription 837,837.23,expense,Entertainment,hotstar
355,2025-07-17,netflix subscription 407,407.95,expense,Entertainment,netflix
356,2025-07-17,swiggy dinner 308,308.95,expense,Food,swiggy
357,2025-07-18,electronics store 2457,2457.69,expense,Shopping,electronics
358,2025-07-21,college tuition fee 2199,2199.03,expense,Education,college
359,2025-07-21,maintenance society bill 3418,3418.53,expense,Bills,maintenance
360,2025-07-21,doctor consultation fee 2075,2075.8,expense,Health,doctor
361,2025-07-23,cafe coffee day 1111,1111.7,expense,Food,cafe
362,2025-07-23,diagnostic lab test 2930,2930.99,expense,Health,diagnostic
363,2025-07-23,book purchase 1993,1993.05,expense,Education,book
364,2025-07-25,decathlon sports gear 6689,6689.8,expense,Shopping,decathlon
365,2025-07-25,doctor consultation fee 2268,2268.05,expense,Health,doctor
366,2025-07-27,exam registration fee 6186,6186.61,expense,Education,exam
367,2025-07-29,concert tickets 409,409.42,expense,Entertainment,concert
368,2025-07-29,flipkart purchase 4181,4181.77,expense,Shopping,flipkart
369,2025-07-29,toll payment fastag 1289,1289.58,expense,Transport,toll
370,2025-07-30,hospital bill 1295,1295.9,expense,Health,hospital
371,2025-07-30,electronics store 1738,1738.72,expense,Shopping,electronics
372,2025-07-31,flipkart purchase 1581,1581.74,expense,Shopping,flipkart
373,2025-07-31,home repair 2275,2275.62,expense,Other,home
374,2025-07-31,salon haircut 2599,2599.53,expense,Other,salon
375,2025-07-31,hospital bill 2282,2282.85,expense,Health,hospital
376,2025-08-01,bank service charge 2399,2399.17,expense,Other,bank
377,2025-08-01,grocery store bigbasket 648,648.22,expense,Food,grocery
378,2025-08-01,hotstar subscription 732,732.13,expense,Entertainment,hotstar
379,2025-08-03,movie tickets bookmyshow 1002,1002.18,expense,Entertainment,movie
380,2025-08-03,car service 1497,1497.38,expense,Transport,car
381,2025-08-04,cash withdrawal atm 1376,1376.71,expense,Other,cash
382,2025-08-04,rent payment 3689,3689.28,expense,Bills,rent
383,2025-08-04,amazon order 3714,3714.08,expense,Shopping,amazon
384,2025-08-05,toll payment fastag 1625,1625.93,expense,Transport,toll
385,2025-08-05,starbucks coffee 872,872.54,expense,Food,starbucks
386,2025-08-06,footwear purchase 3108,3108.25,expense,Shopping,footwear
387,2025-08-06,amusement park entry 671,671.69,expense,Entertainment,amusement
388,2025-08-06,pharmacy medicines 3977,3977.75,expense,Health,pharmacy
389,2025-08-07,train ticket irctc 263,263.43,expense,Transport,train
390,2025-08-07,book purchase 4004,4004.34,expense,Education,book
391,2025-08-08,footwear purchase 835,835.72,expense,Shopping,footwear
392,2025-08-08,footwear purchase 2619,2619.81,expense,Shopping,footwear
393,2025-08-08,college tuition fee 9047,9047.11,expense,Education,college
394,2025-08-08,bus ticket 1410,1410.54,expense,Transport,bus
395,2025-08-09,furniture store 928,928.93,expense,Shopping,furniture
396,2025-08-09,exam registration fee 5618,5618.87,expense,Education,exam
397,2025-08-10,spotify premium 1431,1431.59,expense,Entertainment,spotify
398,2025-08-10,yoga class fee 1081,1081.23,expense,Health,yoga
399,2025-08-11,flipkart purchase 2507,2507.18,expense,Shopping,flipkart
400,2025-08-13,bakery order 457,457.18,expense,Food,bakery
401,2025-08-13,ajio order 1403,1403.17,expense,Shopping,ajio
402,2025-08-13,myntra clothes 5825,5825.23,expense,Shopping,myntra
403,2025-08-13,mcdonalds meal 488,488.02,expense,Food,mcdonalds
404,2025-08-14,bank service charge 2269,2269.55,expense,Other,bank
405,2025-08-15,maintenance society bill 1549,1549.14,expense,Bills,maintenance
406,2025-08-15,donation charity 1135,1135.13,expense,Other,donation
407,2025-08-15,home repair 2319,2319.84,expense,Other,home
408,2025-08-16,college tuition fee 12308,12308.3,expense,Education,college
409,2025-08-16,electronics store 607,607.0,expense,Shopping,electronics
410,2025-08-16,salon haircut 1685,1685.9,expense,Other,salon
411,2025-08-18,bus ticket 237,237.17,expense,Transport,bus
